Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,V2,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,Group
ML_6__33__2,ML_6__33,1.0,1.0,1.0,1.0,,9.0,8.0,9.0,,8.0,8.0,8.0,,10.0,10.0,,9.0,8.0,,3
SE911__69__2,SE911__69,2.0,2.0,2.0,2.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,,10.0,10.0,,3
MH69__70__2,MH69__70,1.0,3.0,3.0,3.0,,8.0,7.0,6.0,,8.0,8.0,8.0,,7.0,8.0,,7.0,7.0,,3
SK1__71__2,SK1__71,2.0,4.0,3.0,3.0,,3.0,7.0,8.0,,7.0,10.0,10.0,,8.0,8.0,,8.0,8.0,,3
TCB94__72__2,TCB94__72,2.0,1.0,1.0,2.0,,7.0,10.0,10.0,,5.0,10.0,9.0,,10.0,10.0,,10.0,10.0,,3
CH86__73__2,CH86__73,2.0,1.0,1.0,1.0,,10.0,10.0,10.0,,9.0,10.0,10.0,,10.0,10.0,,10.0,10.0,,3
TN_1__232__2,TN_1__232,1.0,1.0,1.0,1.0,,10.0,10.0,10.0,,10.0,8.0,8.0,,10.0,10.0,,2.0,3.0,,3
ML_1__28__3,ML_1__28,1.0,1.0,2.0,2.0,,9.0,9.0,9.0,,5.0,6.0,7.0,,10.0,10.0,,6.0,7.0,,3
ML_2__29__3,ML_2__29,2.0,5.0,4.0,5.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,7.0,7.0,,6.0,5.0,,3
ML_3__30__3,ML_3__30,2.0,2.0,2.0,1.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,,8.0,8.0,,3
ML_5__32__3,ML_5__32,2.0,2.0,2.0,2.0,,7.0,7.0,7.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,1.0,,3
ML_6__33__3,ML_6__33,1.0,2.0,2.0,1.0,,6.0,7.0,7.0,,9.0,9.0,8.0,,8.0,8.0,,6.0,6.0,,3
SE911__69__3,SE911__69,1.0,6.0,5.0,5.0,,10.0,10.0,10.0,,8.0,10.0,10.0,,5.0,6.0,,5.0,6.0,,3
MH69__70__3,MH69__70,1.0,4.0,4.0,4.0,,10.0,7.0,7.0,,10.0,10.0,9.0,,8.0,8.0,,7.0,7.0,,3
SK1__71__3,SK1__71,1.0,4.0,2.0,2.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,8.0,8.0,,8.0,8.0,,3
TCB94__72__3,TCB94__72,2.0,1.0,1.0,2.0,,7.0,10.0,10.0,,8.0,10.0,10.0,,10.0,10.0,,10.0,10.0,,3
CH86__73__3,CH86__73,2.0,2.0,2.0,2.0,,8.0,8.0,8.0,,9.0,10.0,10.0,,10.0,10.0,,10.0,9.0,,3
TN_1__232__3,TN_1__232,2.0,1.0,2.0,2.0,,10.0,10.0,10.0,,4.0,8.0,9.0,,10.0,10.0,,2.0,3.0,,3
