Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,Datum_1_Interview,Datum_2_Interview,Datum_3_Interview,Datum_4_Interview,V1,V01,V2,V3,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V10,V11,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V13,V14,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,V19_2_Interview,V19_3_Interview,V19_4_Interview,V20_2_Interview,V20_3_Interview,V20_4_Interview,V21_2_Interview,V21_3_Interview,V21_4_Interview,Miss_row_%,Days_Between_2_and_1_Interview,Days_Between_3_and_2_Interview,Days_Between_4_and_3_Interview,D4_2_1,D4_3_2,D4_4_3,D4_4_1,D6_2_1,D6_3_2,D6_4_3,D6_4_1,D12_2_1,D12_3_2,D12_4_3,D12_4_1
KH_11__11__1,KH_11__11,2018-01-13 00:00:00,2018-02-10 00:00:00,2018-03-10 00:00:00,2018-04-07 00:00:00,Facebook,170.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,8.0,8.0,1.0,8.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,10.0,10.0,9.0,10.0,10,10.0,10.0,8.0,10.0,1.818181818181813,28.0,28.0,28.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,-2.0,-2.0
SK_12__12__1,SK_12__12,2018-01-13 00:00:00,2018-02-10 00:00:00,2018-03-10 00:00:00,2018-04-07 00:00:00,Facebook,170.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,8.0,1.0,1.0,5.0,7.0,8.0,9.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,10.0,10,10.0,8.0,8.0,9.0,5.454545454545453,28.0,28.0,28.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,2.0,1.0,1.0,4.0
ML_13__13__1,ML_13__13,2018-01-14 00:00:00,2018-02-11 00:00:00,2018-03-11 00:00:00,2018-04-08 00:00:00,Facebook,170.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,10.0,7.0,7.0,1.0,4.0,8.0,8.0,8.0,7.0,10.0,10.0,10.0,9.0,9.0,4.0,5.0,7.0,7.0,7.0,7.0,10.0,10,9.0,7.0,6.0,7.0,3.6363636363636402,28.0,28.0,28.0,0.0,0.0,1.0,1.0,4.0,-3.0,0.0,1.0,0.0,0.0,-1.0,-1.0
MW_14__14__1,MW_14__14,2018-01-14 00:00:00,2018-02-11 00:00:00,2018-03-11 00:00:00,2018-04-08 00:00:00,Spotify,505.0,2.0,1.0,2.0,6.0,3.0,4.0,7.0,3.0,4.0,4.0,1.0,1.0,10.0,8.0,7.0,8.0,10.0,10.0,7.0,8.0,4.0,10.0,10.0,10.0,10.0,10.0,8.0,1.0,5,10.0,3.0,5.0,10.0,5.454545454545453,28.0,28.0,28.0,4.0,-3.0,1.0,2.0,-4.0,1.0,0.0,-3.0,-2.0,-1.0,1.0,-2.0
MF_15__15__1,MF_15__15,2018-01-14 00:00:00,2018-02-11 00:00:00,2018-03-11 00:00:00,2018-04-08 00:00:00,Commerzbank,115.0,1.0,1.0,4.0,5.0,4.0,5.0,1.0,2.0,3.0,6.0,1.0,1.0,5.0,6.0,6.0,7.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,8.0,8.0,7.0,5,3.0,8.0,7.0,7.0,5.454545454545453,28.0,28.0,28.0,1.0,-1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,1.0,2.0
SB_16__16__1,SB_16__16,2018-01-14 00:00:00,2018-02-11 00:00:00,2018-03-11 00:00:00,2018-04-08 00:00:00,Karten,283.0,1.0,1.0,4.0,4.0,3.0,4.0,8.0,8.0,8.0,8.0,1.0,7.0,8.0,8.0,8.0,8.0,10.0,9.0,7.0,3.0,4.0,5.0,2.0,7.0,8.0,8.0,8.0,10.0,10,8.0,10.0,9.0,9.0,3.6363636363636402,28.0,28.0,28.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ_17__17__1,SJ_17__17,2018-01-14 00:00:00,2018-02-11 00:00:00,2018-03-11 00:00:00,2018-04-08 00:00:00,DB Navigator,126.0,1.0,1.0,5.0,5.0,7.0,5.0,3.0,5.0,1.0,5.0,1.0,1.0,7.0,7.0,1.0,7.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,8.0,1.0,10,10.0,9.0,1.0,7.0,5.454545454545453,28.0,28.0,28.0,0.0,2.0,-2.0,0.0,2.0,-4.0,4.0,2.0,0.0,-6.0,6.0,0.0
BK_18__18__1,BK_18__18,2018-01-14 00:00:00,2018-02-11 00:00:00,2018-03-11 00:00:00,2018-04-08 00:00:00,Pizza.de,403.0,1.0,1.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,5.454545454545453,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FK_19__19__1,FK_19__19,2018-01-14 00:00:00,2018-02-11 00:00:00,2018-03-11 00:00:00,2018-04-08 00:00:00,Whatsapp,598.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,1.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,9.0,9.0,9.0,10.0,10,10.0,10.0,10.0,10.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
LF_20__20__1,LF_20__20,2018-01-15 00:00:00,2018-02-12 00:00:00,2018-03-12 00:00:00,2018-04-09 00:00:00,Facebook,170.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,8.0,7.0,8.0,5.0,10.0,10.0,9.0,6.0,7.0,2.0,3.0,2.0,5.0,5.0,2.0,9.0,6,2.0,1.0,2.0,1.0,5.454545454545453,28.0,28.0,28.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,-3.0,-3.0
AF_21__21__1,AF_21__21,2018-01-15 00:00:00,2018-02-12 00:00:00,2018-03-12 00:00:00,2018-04-09 00:00:00,Whatsapp,598.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,1.0,5.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,6.0,8.0,8.0,10.0,9.0,10.0,10,10.0,5.0,10.0,10.0,3.6363636363636402,28.0,28.0,28.0,0.0,0.0,0.0,0.0,-2.0,2.0,-1.0,-1.0,0.0,2.0,0.0,2.0
HL_1__34__1,HL_1__34,2018-02-06 00:00:00,2018-03-08 00:00:00,2018-04-10 00:00:00,2018-05-16 00:00:00,Pinterest,402.0,2.0,1.0,4.0,3.0,3.0,5.0,8.0,7.0,7.0,8.0,1.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,7.0,5.0,10.0,10.0,6.0,7.0,7.0,7.0,10.0,8,10.0,8.0,8.0,7.0,0.0,30.0,33.0,36.0,-1.0,0.0,2.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0
HL_2__35__1,HL_2__35,2018-02-10 00:00:00,2018-03-15 00:00:00,2018-04-17 00:00:00,2018-05-16 00:00:00,Snapchat,485.0,1.0,1.0,2.0,1.0,1.0,3.0,10.0,10.0,10.0,7.0,1.0,1.0,9.0,9.0,9.0,7.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,10.0,6,9.0,10.0,10.0,7.0,1.818181818181813,33.0,33.0,29.0,-1.0,0.0,2.0,1.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-2.0,-2.0
HL_3__36__1,HL_3__36,2018-02-14 00:00:00,2018-03-14 00:00:00,2018-05-02 00:00:00,2018-06-10 00:00:00,G Mail,233.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,1.0,6.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,6.0,9.0,9.0,9.0,10.0,7,7.0,9.0,9.0,9.0,1.818181818181813,28.0,49.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HL_4__37__1,HL_4__37,2018-02-14 00:00:00,2018-03-16 00:00:00,2018-04-21 00:00:00,2018-06-03 00:00:00,Instagram,272.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,9.0,9.0,9.0,1.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10,7.0,9.0,9.0,9.0,0.0,30.0,36.0,43.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0
HL_5__38__1,HL_5__38,2018-02-16 00:00:00,2018-03-16 00:00:00,2018-04-20 00:00:00,2018-05-18 00:00:00,Spotify,505.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,10.0,10.0,9.0,5.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,0.0,28.0,35.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
HL_6__39__1,HL_6__39,2018-02-16 00:00:00,2018-03-17 00:00:00,2018-04-20 00:00:00,2018-06-05 00:00:00,facebook,170.0,1.0,1.0,1.0,2.0,2.0,3.0,9.0,8.0,8.0,8.0,1.0,6.0,7.0,9.0,9.0,9.0,10.0,7.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9,9.0,8.0,8.0,8.0,0.0,29.0,34.0,46.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,-1.0,2.0,0.0,0.0,2.0
HL_7__40__1,HL_7__40,2018-02-17 00:00:00,2018-03-18 00:00:00,2018-04-21 00:00:00,2018-05-28 00:00:00,G Mail,233.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,1.0,1.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,8,8.0,10.0,10.0,10.0,1.818181818181813,29.0,34.0,37.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
HL_8__41__1,HL_8__41,2018-02-18 00:00:00,2018-03-18 00:00:00,2018-04-15 00:00:00,2018-05-16 00:00:00,Instagram,272.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,1.0,6.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10,9.0,9.0,9.0,9.0,0.0,28.0,28.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0
HL_9__42__1,HL_9__42,2018-02-18 00:00:00,2018-03-20 00:00:00,2018-04-16 00:00:00,2018-06-25 00:00:00,Whats App,598.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,7.0,7.0,7.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10,8.0,9.0,9.0,10.0,1.818181818181813,30.0,27.0,70.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
HL_10__43__1,HL_10__43,2018-02-19 00:00:00,2018-03-20 00:00:00,2018-04-16 00:00:00,2018-05-18 00:00:00,Whats App,598.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,8.0,4.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,0.0,29.0,27.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0
HL_11__44__1,HL_11__44,2018-02-19 00:00:00,2018-03-25 00:00:00,2018-04-23 00:00:00,2018-05-30 00:00:00,kicker,292.0,1.0,1.0,3.0,2.0,2.0,2.0,9.0,8.0,8.0,8.0,1.0,1.0,10.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,9,9.0,9.0,9.0,9.0,1.818181818181813,34.0,29.0,37.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,-2.0
HL_12__45__1,HL_12__45,2018-02-23 00:00:00,2018-03-28 00:00:00,2018-04-23 00:00:00,2018-05-25 00:00:00,Spotify,505.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,0.0,33.0,26.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL_13__46__1,HL_13__46,2018-02-24 00:00:00,2018-03-27 00:00:00,2018-04-20 00:00:00,2018-06-18 00:00:00,Whats App,598.0,2.0,2.0,1.0,1.0,1.0,1.0,10.0,9.0,9.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,8.0,10.0,10.0,10.0,1.818181818181813,31.0,24.0,59.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
HL_14__47__1,HL_14__47,2018-02-24 00:00:00,2018-03-27 00:00:00,2018-05-02 00:00:00,2018-06-03 00:00:00,Whats App,598.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,1.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10,10.0,9.0,9.0,9.0,0.0,31.0,36.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HL_15__48__1,HL_15__48,2018-02-28 00:00:00,2018-03-25 00:00:00,2018-05-02 00:00:00,2018-06-03 00:00:00,Whats App,598.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,8.0,8.0,1.0,1.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,10,10.0,9.0,9.0,10.0,1.818181818181813,25.0,38.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0
P1__79__1,P1__79,2018-03-18 00:00:00,2018-04-15 00:00:00,2018-05-13 00:00:00,2018-06-10 00:00:00,Whatsapp,598.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,1.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,1.818181818181813,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2__80__1,P2__80,2018-03-18 00:00:00,2018-04-15 00:00:00,2018-05-13 00:00:00,2018-06-10 00:00:00,Whatsapp,598.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,5.454545454545453,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4__82__1,P4__82,2018-03-19 00:00:00,2018-04-15 00:00:00,2018-05-13 00:00:00,2018-06-10 00:00:00,Whatsapp,598.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,1.0,7.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10,10.0,8.0,8.0,8.0,3.6363636363636402,27.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5__83__1,P5__83,2018-03-19 00:00:00,2018-04-15 00:00:00,2018-05-13 00:00:00,2018-06-10 00:00:00,Whatsapp,598.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,1.0,5.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10,10.0,9.0,9.0,9.0,1.818181818181813,27.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0
KR__84__1,KR__84,2018-03-15 00:00:00,2018-04-17 00:00:00,2018-05-18 00:00:00,2018-05-19 00:00:00,Facebook,170.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,5.0,1.0,1.0,8.0,4.0,4.0,5.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,6.0,6.0,7.0,9.0,8,7.0,5.0,4.0,2.0,5.454545454545453,33.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,1.0,-3.0
DR__85__1,DR__85,2018-03-15 00:00:00,2018-04-17 00:00:00,2018-05-18 00:00:00,2018-05-19 00:00:00,Facebook,170.0,2.0,1.0,1.0,1.0,1.0,2.0,8.0,6.0,7.0,6.0,1.0,1.0,8.0,7.0,7.0,7.0,10.0,6.0,6.0,8.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,7.0,8,9.0,7.0,8.0,8.0,5.454545454545453,33.0,31.0,1.0,0.0,0.0,1.0,1.0,-2.0,1.0,-1.0,-2.0,-1.0,0.0,0.0,-1.0
KRS__86__1,KRS__86,2018-03-15 00:00:00,2018-04-17 00:00:00,2018-05-18 00:00:00,2018-05-19 00:00:00,Whatsapp,598.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,5.0,5.0,7.0,1.0,1.0,8.0,8.0,7.0,8.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,9.0,7.0,7.0,7,8.0,2.0,2.0,5.0,5.454545454545453,33.0,31.0,1.0,0.0,1.0,-1.0,0.0,-3.0,0.0,2.0,-1.0,0.0,-1.0,1.0,0.0
TK__87__1,TK__87,2018-03-15 00:00:00,2018-04-17 00:00:00,2018-05-18 00:00:00,2018-05-19 00:00:00,AppStore,41.0,1.0,1.0,6.0,5.0,4.0,5.0,3.0,6.0,7.0,5.0,1.0,1.0,8.0,7.0,8.0,7.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,4.0,7.0,7.0,8.0,8.0,8,7.0,7.0,8.0,7.0,5.454545454545453,33.0,31.0,1.0,-1.0,-1.0,1.0,-1.0,3.0,1.0,-2.0,2.0,-1.0,1.0,-1.0,-1.0
KH__88__1,KH__88,2018-03-16 00:00:00,2018-04-17 00:00:00,2018-05-18 00:00:00,2018-05-19 00:00:00,Whatsapp,598.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,9.0,9.0,8.0,1.0,1.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10,10.0,10.0,9.0,9.0,5.454545454545453,32.0,31.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,1.0,0.0,-1.0,0.0
SR1807__95__1,SR1807__95,2018-03-15 00:00:00,2018-04-13 00:00:00,2018-05-12 00:00:00,2018-06-19 00:00:00,ImmoScout24,266.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,6.0,7.0,5.0,1.0,1.0,8.0,9.0,8.0,10.0,10.0,10.0,1.0,3.0,5.0,5.0,7.0,8.0,9.0,10.0,10.0,10.0,10,10.0,4.0,5.0,4.0,3.6363636363636402,29.0,29.0,38.0,0.0,-1.0,0.0,-1.0,5.0,1.0,-2.0,4.0,1.0,-1.0,2.0,2.0
FT2311__96__1,FT2311__96,2018-03-17 00:00:00,2018-04-14 00:00:00,2018-05-12 00:00:00,2018-06-19 00:00:00,WhatsApp,598.0,2.0,2.0,1.0,1.0,1.0,1.0,10.0,10.0,7.0,8.0,1.0,4.0,10.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,3.6363636363636402,28.0,28.0,38.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,-2.0,0.0,0.0,0.0,0.0
